74, 44
76, 158
214, 122
102, 114
134, 104
40, 94
186, 44
102, 184
96, 14
46, 14
206, 158
114, 80
38, 136
150, 60
74, 90
70, 176
118, 124
74, 26
12, 74
84, 54
144, 164
140, 42
192, 180
140, 108
206, 50
66, 76
80, 122
122, 172
34, 192
68, 138
76, 66
84, 182
44, 80
26, 40
124, 52
60, 152
106, 24
68, 166
58, 18
104, 132
136, 114
82, 38
116, 180
206, 118
12, 76
28, 164
102, 102
70, 152
184, 54
128, 104
134, 108
82, 48
62, 38
32, 130
202, 46
84, 96
76, 160
52, 18
120, 122
84, 56
132, 208
58, 66
72, 26
70, 150
118, 82
72, 20
214, 142
76, 180
106, 182
66, 40
152, 56
118, 134
64, 170
198, 172
208, 116
76, 38
42, 18
126, 102
80, 52
92, 190
166, 182
138, 48
