86, 44
92, 162
214, 116
110, 120
142, 104
40, 106
186, 40
114, 186
132, 14
54, 14
212, 144
118, 84
50, 136
154, 56
82, 82
90, 184
126, 124
90, 26
14, 90
96, 54
160, 162
144, 38
200, 172
148, 108
206, 50
74, 84
88, 134
132, 172
50, 200
84, 146
88, 66
104, 190
50, 84
22, 64
134, 42
76, 158
110, 24
84, 172
70, 18
116, 130
144, 114
94, 38
126, 184
206, 110
14, 92
36, 166
110, 98
86, 156
180, 50
136, 104
142, 108
94, 48
74, 38
46, 134
202, 46
92, 90
92, 166
62, 18
128, 122
96, 56
114, 212
66, 64
88, 26
86, 154
122, 86
90, 20
214, 138
96, 188
118, 184
78, 40
158, 52
124, 134
82, 178
206, 164
208, 108
86, 38
54, 16
134, 102
92, 52
106, 192
176, 162
142, 44
